gene,log2_fc,p_value,adj_p_value,mean_expression,status
Gene_080,-1.2945671910322645,0.012011882334501883,0.004982171329873227,9.32,Down
Gene_081,-2.0933536808804463,0.0003104481513403871,0.005153740120105984,9.21,Down
Gene_082,-0.6078848863416636,0.04567852832162412,0.005155037392966437,8.3,Neutral
Gene_083,-0.06722818852290062,0.0763130462344985,0.0056722079003838025,9.24,Neutral
Gene_084,2.2099123919748536,0.00022395607215223282,0.005736633978067775,8.69,Up
Gene_085,0.16284315184110731,0.1355599065717404,0.005852680061894599,9.68,Neutral
Gene_086,1.228424388778822,0.002401392715758235,0.006032534631618056,8.41,Up
Gene_087,-0.6241194981739401,0.031601920348055944,0.006264346331357989,7.5,Neutral
Gene_088,-1.4811797080212807,0.0014975526751267072,0.006330500196738734,8.47,Down
Gene_089,-1.2063959527904649,0.01500648617763332,0.00635204635675534,3.9,Down
Gene_090,-0.9065325806696916,0.01997460383916162,0.006373588644874261,8.54,Neutral
Gene_091,2.6605871655439555,0.00018866660819522212,0.006771474942198901,2.89,Up
Gene_092,-1.0267333490304826,0.049934485582868116,0.006807057614212305,5.59,Down
Gene_093,1.0481115046704312,0.01890037089468036,0.0068953452433759225,8.63,Up
Gene_094,-1.128658972608783,0.0030378450892343863,0.007130121543919745,8.67,Down
Gene_095,1.1644662660928051,0.006766245791893141,0.007286138409613578,6.37,Up
Gene_096,0.48118870763232896,0.1644890663328476,0.007385293490387375,7.0,Neutral
Gene_097,-0.19579737207261302,0.20881580101227126,0.007597735399814624,9.92,Neutral
Gene_098,-0.05095315766929253,0.4817742671294228,0.007670762022017777,7.32,Neutral
Gene_099,-0.818484619286738,0.11019451227651254,0.00838912512661917,11.14,Neutral
Gene_100,0.5575902518526007,0.01299213265177086,0.00841150462846638,8.0,Neutral
Gene_101,-0.568729350425975,0.056297611161032546,0.008983414666267574,8.57,Neutral
Gene_102,-1.5320072047090603,0.007135106097218003,0.009036624091126325,10.26,Down
Gene_103,-1.597421967899524,0.002428343468742297,0.009371199343802181,8.18,Down
Gene_104,0.21573489715264935,0.5578128114507812,0.00943046007278562,6.6,Neutral
Gene_105,1.9738640705130437,0.0024800524844898067,0.009447818988532596,7.85,Up
Gene_106,0.19998951696679781,0.06630850184241292,0.010243382424952483,7.95,Neutral
Gene_107,-0.1482979076373532,0.09414338827027487,0.01059380750178117,6.09,Neutral
Gene_108,0.35728267450317863,0.018459622309798588,0.010636766898982073,7.64,Neutral
Gene_109,1.632502177133531,0.002070382896449485,0.01100705041287416,6.96,Up
Gene_110,0.27422812670482044,0.11049207775150095,0.011169268445387138,9.29,Neutral
Gene_111,-0.5136590385421714,0.024448581102965775,0.01150193475055741,8.05,Neutral
Gene_112,1.3828608875748611,0.0016387504173304877,0.012008756534744596,7.6,Up
Gene_113,0.5359455480770169,0.02619911155874777,0.012051981538814467,7.85,Neutral
Gene_114,1.91969498999499,0.0003366637192760351,0.012522722605439508,8.31,Up
Gene_115,0.22904304652738267,0.048056972075064465,0.012594253353237734,8.86,Neutral
Gene_116,-1.5305862896506253,0.001250833887022249,0.012927000379720792,6.6,Down
Gene_117,-1.7101989990570812,0.008209016959603414,0.013135690166882727,6.54,Down
Gene_118,2.063659915289062,0.0004757367470721407,0.013505549068092143,9.55,Up
Gene_119,2.154582150979121,0.0009349754038437102,0.013777314494303057,7.42,Up
Gene_120,-0.22439901660325082,0.09934851008829974,0.015450261535128268,6.02,Neutral
Gene_121,-0.4789841514199847,0.03739724234852051,0.015977335208742397,8.62,Neutral
Gene_122,1.8268053653027527,0.0004198902821003665,0.01604090009513881,8.65,Up
Gene_123,-1.38380710255436,0.0012686751896845928,0.017265866132325336,5.86,Down
Gene_124,-1.118408773694783,0.022211725862833077,0.017572676948375283,8.32,Down
Gene_125,0.8041584933613055,0.012523818162512168,0.01769845029509873,9.03,Neutral
Gene_126,-0.49325640357448697,0.02671806668187403,0.0177436371319066,8.52,Neutral
Gene_127,-0.00640233340008912,0.33363630244577447,0.018388877000135972,8.88,Neutral
Gene_128,-0.2043036231556407,0.3994514221536017,0.019069834431720892,6.03,Neutral
Gene_129,0.4219681859986669,0.29379536256647676,0.019370259011255598,8.46,Neutral
Gene_130,1.759352326642146,0.0009122225193270309,0.019722386789846665,7.58,Up
Gene_131,0.11323113362718193,0.16165931662857733,0.01979036324138932,7.32,Neutral
Gene_132,0.8049234915960723,0.0056977358236673615,0.02034225690868608,9.22,Neutral
Gene_133,-2.5627151262887784,0.0002993861004691857,0.020412450945823966,10.07,Down
Gene_134,-0.06089800241264744,0.0403793896655232,0.021579920814745756,10.51,Neutral
Gene_135,-1.0540378378660888,0.017870293865872522,0.022550736031134035,9.84,Down
Gene_136,-1.523516325529535,0.0016005135121669753,0.022760185753300608,7.85,Down
Gene_137,-1.0976904586609384,0.04421764673707709,0.023010036658995522,8.49,Down
Gene_138,-0.41765430087601507,0.05966905600065986,0.024329942676327453,9.07,Neutral
Gene_139,1.1448781779450163,0.004173042895823747,0.02496698309167487,8.17,Up
Gene_140,-1.657990897174455,0.0007496939252622052,0.025183412262065764,8.18,Down
Gene_141,0.03828936574302181,0.06952898286787731,0.025189761049565346,9.15,Neutral
Gene_142,-0.6052117916669731,0.18472273142571796,0.025310527285353258,7.92,Neutral
Gene_143,-0.40959136795245105,0.10776860878665255,0.02583670336789414,6.98,Neutral
Gene_144,1.2534472816307551,0.033011405175088826,0.02650701437441012,7.42,Up
Gene_145,0.6726442962549075,0.12370743224834908,0.026517704677908715,8.89,Neutral
Gene_146,1.6717476343034297,0.0015750040888203969,0.026569059974748042,8.0,Up
Gene_147,-0.19313209906237558,0.06538195146726399,0.02707164562653573,8.48,Neutral
Gene_148,-0.8699282645883788,0.009317862536964332,0.02713631544647034,8.94,Neutral
Gene_149,-0.2798235211006244,0.0324593875537568,0.027848694506893115,7.48,Neutral
Gene_150,0.30312098908902696,0.04526864030229301,0.027980808224384326,9.06,Neutral
Gene_151,0.22071669806713878,0.04630141381721254,0.028005103412557516,8.53,Neutral
Gene_152,-1.3554850902917082,0.025298048783438117,0.028065015246507397,6.27,Down
Gene_153,0.11311222703484278,0.3584946796395735,0.028489455965865856,10.02,Neutral
Gene_154,0.28528541267363144,0.06842184555521363,0.029746439219503987,7.3,Neutral
Gene_155,3.1468425469174006,1.9228027602157396e-05,0.029834784671579965,5.68,Up
Gene_156,2.3460557641020876,0.002212161081149683,0.030005648963959634,6.54,Up
Gene_157,-1.066554188198525,0.012541847366571383,0.03009566131662057,6.57,Down
Gene_158,-0.3592292019364701,0.04749491572438869,0.030539622273283155,8.07,Neutral
Gene_159,-1.829302502296254,0.00783964874896405,0.03131517182515347,7.62,Down
Gene_160,-0.7383837674543581,0.04191853718610246,0.03154614240474242,7.53,Neutral
Gene_161,0.39450625448792564,0.02192567199265188,0.0318760330418096,8.87,Neutral
Gene_162,1.507317026110292,0.0024431765258053125,0.03195375125241117,8.48,Up
Gene_163,-0.9113547971795106,0.04455563854748377,0.03216165379157998,8.44,Neutral
Gene_164,-0.8176830500847456,0.008340325332561294,0.03281272230825696,8.57,Neutral
Gene_165,-2.6841112871733186,0.0003144934251743306,0.03329788157456478,8.86,Down
Gene_166,-0.2033324006811346,0.04112662258418179,0.033634191335288874,5.05,Neutral
Gene_167,-1.3280180148244538,0.012456022600384635,0.03397508599151376,7.49,Down
Gene_168,-0.6617992842075922,0.02836845979099698,0.034022106495706486,4.95,Neutral
Gene_169,-1.0960759727094853,0.016768543802194294,0.03444301645729937,8.05,Down
Gene_170,-0.11782819281569623,0.3122948642738768,0.03563679548367884,7.99,Neutral
Gene_171,-2.197160489195789,0.0002078535389632823,0.036424214565516984,9.46,Down
Gene_172,-1.8338065567387383,0.004733031677535889,0.036723251569963755,9.66,Down
Gene_173,2.661558890035373,0.0007581227252633067,0.03715200750931308,8.28,Up
Gene_174,-1.6092782265925387,0.005242611969384294,0.0373599375748694,7.3,Down
Gene_175,-1.3709819730682995,0.003016713543976966,0.03768856223638156,8.68,Down
Gene_176,2.2961419104016425,0.00020568687338847562,0.03825874913784112,7.26,Up
Gene_177,3.6313339615505087,3.518247313571241e-06,0.03915742895992035,8.0,Up
Gene_178,-1.464458286031677,0.008806711642418247,0.03968886107028235,9.38,Down
Gene_179,-0.46031119598503817,0.08461971538952964,0.04007621812003894,7.22,Neutral
Gene_180,0.4269444386756369,0.21503855786880766,0.04047199188410421,9.13,Neutral
Gene_181,2.1608720555069905,0.0006040414329746382,0.0410013122824289,8.95,Up
Gene_182,-1.2335713480352968,0.001800420156299148,0.04281701118369314,6.66,Down
Gene_183,-0.3065973074276372,0.05059503900431285,0.042910599656868845,9.36,Neutral
Gene_184,0.9716719700771801,0.012482705105376357,0.04406039627762991,8.98,Neutral
Gene_185,0.5434575930832732,0.07156269846463305,0.04462828838515673,8.14,Neutral
Gene_186,-0.4701950890376241,0.016937259772965396,0.0457144770136146,6.93,Neutral
Gene_187,-0.16727870564505143,0.1373387998164995,0.04971440144969003,6.8,Neutral
Gene_188,-1.7186197604624773,0.007539223044715241,0.04971547789158659,7.25,Down
Gene_189,-0.2977171799683315,0.14748254147353973,0.0507091223936157,8.76,Neutral
Gene_190,-0.3329843625111939,0.3411887794916981,0.05196853060708344,6.66,Neutral
Gene_191,0.29021236203281997,0.25039221290190516,0.052949018861844506,8.61,Neutral
Gene_192,-0.69415902352377,0.1556819619949256,0.05328019755036162,6.26,Neutral
Gene_193,0.5894231531814238,0.05251095115270841,0.05337940939168053,7.71,Neutral
Gene_194,1.2658947722747858,0.0051379966383638676,0.05447371923640219,8.15,Neutral
Gene_195,0.19428665958558256,0.20675561282876476,0.055781338655188015,11.42,Neutral
Gene_196,0.43969551049900435,0.08588041665450195,0.05780095800761477,6.07,Neutral
Gene_197,0.0664441844723342,0.04219355431727355,0.05843770395143771,10.06,Neutral
Gene_198,0.00010549136426772553,0.09571318489066988,0.05946529719469961,8.21,Neutral
Gene_199,-0.9019475419285593,0.017729305753130222,0.05983225566699534,8.58,Neutral
Gene_200,0.395617827091635,0.14713954146698952,0.06005941167250941,8.17,Neutral
Gene_201,-0.12160824801686183,0.04438687519251338,0.060506569694962285,8.62,Neutral
Gene_202,2.6164603861632436,0.0005333674302698493,0.0618204921344055,7.78,Neutral
Gene_203,1.966693628094053,0.0021799076787904796,0.0625510659735735,10.04,Neutral
Gene_204,0.482308190695626,0.01673448837721105,0.06352027473441861,7.36,Neutral
Gene_205,-0.9538215121184594,0.01604902556039115,0.06508419317432966,9.59,Neutral
Gene_206,-1.3905143399792723,0.0026548442573777146,0.06560833462608695,7.1,Neutral
Gene_207,1.4889286913610813,0.00329833212372243,0.06657381258799505,7.92,Neutral
Gene_208,0.32843653143392315,0.05542828179156024,0.06744488169722841,6.5,Neutral
Gene_209,0.6001792542395136,0.08253424915228298,0.06754395188332614,8.64,Neutral
Gene_210,-2.180732483717741,0.0016238014737528011,0.06836897151777255,10.02,Neutral
Gene_211,1.159298101947726,0.01794666117648517,0.07041319953002208,7.89,Neutral
Gene_212,0.5680254227679536,0.14059894838182008,0.07165072858978412,7.72,Neutral
Gene_213,-1.3880383555180975,0.0017700268835695444,0.07230088899369272,6.44,Neutral
Gene_214,-0.5894060093124363,0.08926140709040664,0.0771094995844093,7.68,Neutral
Gene_215,0.32964650544564944,0.07361342796354281,0.07878887763873578,5.77,Neutral
Gene_216,0.06558349794530453,0.07125592530620008,0.07935359331755196,6.72,Neutral
Gene_217,-0.36521398225444374,0.033537616982914985,0.0812919178265822,8.32,Neutral
Gene_218,-0.12936033508245107,0.18193569145549326,0.08291769979617328,9.85,Neutral
Gene_219,-0.31497172275860674,0.09977383723734416,0.08360765869837086,11.93,Neutral
Gene_220,0.1907031401280857,0.027342920797329515,0.08418030091121385,7.18,Neutral
Gene_221,1.8393649662414462,0.001020877180472416,0.08481925930753662,10.01,Neutral
Gene_222,-3.208323051164122,1.8768851908212655e-05,0.08567219150715441,8.34,Neutral
Gene_223,-0.2960628306371053,0.027716378924559523,0.08599299626873022,7.79,Neutral
Gene_224,0.2206405267155587,0.04826996962918902,0.08619637433783754,8.61,Neutral
Gene_225,0.3699924871088744,0.21443684288414944,0.08713929544632697,8.09,Neutral
Gene_226,-0.4648932266516123,0.05167944914335446,0.08810299496564243,8.15,Neutral
Gene_227,-2.195902228098228,0.0024121047704873068,0.08833208993535001,7.43,Neutral
Gene_228,0.40999435464263706,0.044909660254079393,0.08835446851220599,6.04,Neutral
Gene_229,2.159187767705231,0.0001851066500970684,0.08877601706294053,5.84,Neutral
Gene_230,-1.9173267561451721,0.0013812400358426651,0.08946367990526927,8.91,Neutral
Gene_231,1.0797850171227354,0.015633875349324384,0.09014170741656491,7.61,Neutral
Gene_232,-0.41065652890361737,0.3074212384781734,0.09146805158115834,7.17,Neutral
Gene_233,-0.07665543228605912,0.04101568872623786,0.09169834770858007,8.01,Neutral
Gene_234,-1.3161231383799363,0.023676115252200963,0.09234951156828798,9.11,Neutral
Gene_235,-0.4180702154448458,0.2966657095195915,0.09274021790707176,8.25,Neutral
Gene_236,1.625055743373698,0.006786141502828872,0.09910029538357057,7.08,Neutral
Gene_237,0.7283190524846338,0.12269121953161222,0.1000852627036582,9.72,Neutral
Gene_238,2.16538950676243,0.0008674259709137986,0.10479634296525615,10.21,Neutral
Gene_239,1.471764861222117,0.004353467699744112,0.1065928495991543,8.69,Neutral
Gene_240,0.5488583486619703,0.09051407210507127,0.10883098684499153,9.36,Neutral
Gene_241,2.17991815770974,0.002947541294392228,0.10933899030057366,9.74,Neutral
Gene_242,0.5487414484228734,0.16949685365571765,0.11059024918975487,9.58,Neutral
Gene_243,1.0349852209963237,0.02043277123618799,0.11677841789637491,8.86,Neutral
Gene_244,-0.37071369191838544,0.31578162463600706,0.11801465950978608,8.84,Neutral
Gene_245,0.08318226982400603,0.09120679797817877,0.12024029297313592,8.73,Neutral
Gene_246,-0.8717797791253461,0.05433799813500668,0.12037101178559072,6.46,Neutral
Gene_247,1.2369799182435663,0.015629250598705638,0.12053549153887523,8.98,Neutral
Gene_248,-1.472879528893582,0.00635089710347054,0.12071637413944801,6.1,Neutral
Gene_249,0.9779379280220767,0.02144077774466886,0.12265275183367559,6.89,Neutral
Gene_250,-0.2383138218814493,0.5353699130030554,0.12362724743312566,9.82,Neutral
Gene_251,1.4640588668341492,0.01566678189002598,0.12375931072463056,9.18,Neutral
Gene_252,0.9385862359140749,0.005903855586595375,0.12670069745314214,10.08,Neutral
Gene_253,2.275807697058502,0.0026826580470139198,0.12910261821044408,7.62,Neutral
Gene_254,0.913468363923306,0.01905358709211437,0.1293630842833192,6.39,Neutral
Gene_255,-1.9650503195665507,0.0013117710724123738,0.13116510772121784,7.66,Neutral
Gene_256,-0.08369146612275105,0.2845484917924382,0.13195541723370385,8.14,Neutral
Gene_257,-1.4650089907435198,0.0057718439230769174,0.13359192860591856,8.11,Neutral
Gene_258,-0.6478498029578433,0.016247395876969647,0.13559604266658248,9.59,Neutral
Gene_259,1.8890355415959021,0.0005335018756198877,0.13613022444126396,7.49,Neutral
Gene_260,0.79691726362212,0.05589544757467464,0.1369552148158936,8.49,Neutral
Gene_261,-0.873663035723433,0.03771512509996864,0.13839107733943026,6.62,Neutral
Gene_262,-1.2671467080504986,0.017402734283459967,0.14186670342360944,8.63,Neutral
Gene_263,0.04097761609532599,0.2011477409008918,0.1452961855083032,8.0,Neutral
Gene_264,-1.5207001867264096,0.002275429253810119,0.14890905792355716,6.95,Neutral
Gene_265,-0.8389253467457264,0.0553900738876707,0.15085678684178547,7.67,Neutral
Gene_266,0.3900118394390548,0.1292604008868956,0.15473015884244984,7.74,Neutral
Gene_267,1.4441400451333704,0.0012842708877152692,0.15661530988672148,7.62,Neutral
Gene_268,0.7609518402805497,0.11883599032711036,0.15796028545891477,10.48,Neutral
Gene_269,-2.864111885747625,0.00013854822870000723,0.159880814427997,7.86,Neutral
Gene_270,0.38045841128782476,0.04038677257522186,0.16684375157085354,7.66,Neutral
Gene_271,0.0900419665407224,0.49483761087980277,0.16695956871085804,5.06,Neutral
Gene_272,0.5173628567158663,0.22470870277986607,0.16715468547848508,6.75,Neutral
Gene_273,2.020262102064009,0.0034003319326384777,0.167418337320986,7.63,Neutral
Gene_274,-2.5790478460059285,6.963433707991043e-05,0.17058558610935487,7.04,Neutral
Gene_275,-0.738879281488882,0.14227739356082533,0.1708712253826275,9.93,Neutral
Gene_276,0.7386329034916933,0.0814301150617524,0.17295378550915902,7.77,Neutral
Gene_277,-1.976992999317428,0.00531200270024731,0.17526615643775909,9.8,Neutral
Gene_278,1.844936310066886,0.0058459957167841334,0.1763174123740291,8.09,Neutral
Gene_279,0.460445765875823,0.04362936851656751,0.17736714974195575,8.05,Neutral
Gene_280,1.058229982304255,0.03003741975980819,0.17771907936419126,7.88,Neutral
Gene_281,-0.7136795769022432,0.02647621497105805,0.17791007201976594,8.01,Neutral
Gene_282,1.0172046124577632,0.01126402132216339,0.17946976877218265,10.41,Neutral
Gene_283,1.335589444986298,0.0021923729209311874,0.1822353191549665,4.75,Neutral
Gene_284,0.2910975251714604,0.46225124686746294,0.18491543285841638,5.2,Neutral
Gene_285,0.2930011158733699,0.0325715648722004,0.18559081788875387,7.24,Neutral
Gene_286,0.3379290491021574,0.060188915151517905,0.18909433606598802,8.02,Neutral
Gene_287,-1.0791815809242271,0.03638379531741926,0.19335996947610076,8.97,Neutral
Gene_288,-0.18441085030044116,0.055518839700774696,0.19430439853247292,8.66,Neutral
Gene_289,-0.1906531655654485,0.042221241104913744,0.19437654268706106,7.46,Neutral
Gene_290,0.47924233044186887,0.13011558235983242,0.19557622477367478,9.43,Neutral
Gene_291,1.2497803086378683,0.0022071237385544603,0.1972453414691555,9.44,Neutral
Gene_292,-1.3231701024730116,0.0077648398362569135,0.19781885639879382,8.26,Neutral
Gene_293,-0.15626128789947205,0.10137146415113266,0.2004168747903292,9.35,Neutral
Gene_294,1.8518194345737164,0.0003756558693405902,0.20406856466647944,8.38,Neutral
Gene_295,-0.9294852860157052,0.02887860385794126,0.20694893608847323,7.21,Neutral
Gene_296,-1.0278125216129004,0.0054651171828866574,0.20707378823900796,8.98,Neutral
Gene_297,0.252882739788992,0.19187707025885742,0.21710645905594833,8.15,Neutral
Gene_298,1.05548148810665,0.00531194055022021,0.2228220893737762,8.0,Neutral
Gene_299,0.014282569450824163,0.1478695951580984,0.22291244786242076,10.06,Neutral
Gene_300,1.6612007380462366,0.006777468068344744,0.222960836281317,4.57,Neutral
Gene_301,1.0709924782081586,0.016969428863428362,0.22604266950746985,6.02,Neutral
Gene_302,1.0522750836125774,0.02406640494656625,0.22840472290763975,6.34,Neutral
Gene_303,0.6926456266551166,0.12943495322734033,0.2502207616694827,7.49,Neutral
Gene_304,2.909566375432606,0.0004722712483026935,0.2553863794002133,7.64,Neutral
Gene_305,-0.2564521110825552,0.1741586012170753,0.2569816663055802,5.89,Neutral
Gene_306,-2.5044028650831422,0.0014006288139103648,0.25842029664492583,6.62,Neutral
Gene_307,2.0053179518964264,0.0032465951479653875,0.2631868278077158,6.79,Neutral
Gene_308,-0.572124288696032,0.023515509150428028,0.2652810346826794,11.44,Neutral
Gene_309,0.1348505554287913,0.07731586543857595,0.2801600886871366,10.52,Neutral
Gene_310,1.6369383560756587,0.0014153045638980015,0.28918914149726865,7.42,Neutral
Gene_311,-2.0028244263236568,0.002035810208705511,0.29377283383208447,7.49,Neutral
Gene_312,-1.5645590176326742,0.001065070641416262,0.29427908293397903,6.39,Neutral
Gene_313,-2.001597421398567,0.0008614404694013597,0.2997179565758435,5.33,Neutral
Gene_314,-0.9926703625317799,0.05109109164184878,0.3014506539486785,7.84,Neutral
Gene_315,0.5495457575212419,0.15301471384432241,0.30555036043620876,6.6,Neutral
Gene_316,0.6552348035159637,0.020940541355783996,0.30592812304318145,7.88,Neutral
Gene_317,0.34534272416069217,0.23752648058635598,0.30817219010694297,5.76,Neutral
Gene_318,-1.7659573548654581,0.002082383034126911,0.3121323629069624,6.93,Neutral
Gene_319,-2.887629295790805,2.4861937612396816e-05,0.32350608986421553,8.21,Neutral
Gene_320,0.06794198173797783,0.8276599649570511,0.3243374208227617,8.51,Neutral
Gene_321,-0.5897200420479197,0.20494756946867118,0.33045397467627363,8.58,Neutral
Gene_322,0.5742322146457647,0.010138373949356377,0.3311617002943325,6.15,Neutral
Gene_323,0.8774420327765876,0.016483054138752853,0.3338269567990702,9.2,Neutral
Gene_324,0.1728017900733524,0.42945265442208785,0.34126188206441127,6.88,Neutral
Gene_325,0.9501663567198172,0.005143531409850221,0.3479152987595231,8.89,Neutral
Gene_326,0.28651421764383556,0.030448349123518563,0.3519379000757939,7.99,Neutral
Gene_327,0.6625808820018333,0.033518572790885624,0.36174765028275085,6.07,Neutral
Gene_328,-0.880841578587353,0.01454978244816341,0.36422319855223173,7.56,Neutral
Gene_329,-0.22451426728932317,0.2378580688815035,0.3677737167927639,8.51,Neutral
Gene_330,0.24597012082119657,0.45061418698953415,0.38122105401626566,8.86,Neutral
